Score,Non- Hispanic white,Black,Hispanic,Asian
69,63.86,92.96,84.89,67.50
69.5,64.30,93.06,85.16,68.00
70,64.71,93.19,85.43,68.52
70.5,65.15,93.34,85.70,68.92
71,65.50,93.44,85.94,69.32
71.5,65.82,93.54,86.15,69.68
72,66.57,93.71,86.59,70.58
73,67.42,93.98,87.01,71.73
73.5,67.80,94.06,87.20,72.01
74,68.23,94.20,87.40,72.49
74.5,68.99,94.39,87.83,73.20
75,69.68,94.60,88.21,73.78
75.5,70.15,94.72,88.46,74.32
76,70.58,94.82,88.67,74.73
76.5,71.14,94.98,88.94,75.25
77,72.23,95.26,89.60,76.81
78,73.26,95.47,90.09,77.69
78.5,73.70,95.53,90.26,78.06
79,74.34,95.65,90.53,78.54
79.5,74.78,95.74,90.78,79.03
80,75.34,95.90,91.08,79.58
80.5,75.95,96.11,91.36,80.09
81,77.02,96.30,91.79,81.04
81.5,77.50,96.39,92.02,81.54
82,77.97,96.48,92.21,81.99
82.5,78.49,96.60,92.43,82.54
83,79.02,96.71,92.64,82.99
83.5,79.74,96.85,92.91,83.53
84,80.59,97.00,93.30,84.29
84.5,81.06,97.10,93.52,84.61
85,81.54,97.21,93.69,84.98
85.5,82.51,97.42,94.11,85.71
86,83.07,97.51,94.28,86.08
86.5,83.75,97.64,94.62,86.72
87,84.16,97.73,94.74,87.02
87.5,84.97,97.89,95.03,87.67
88,85.37,97.93,95.19,88.02
88.5,86.18,98.05,95.46,88.67
89,86.62,98.11,95.58,89.10
89.5,87.55,98.24,95.88,89.82
90,88.04,98.31,96.05,90.18
90.5,88.51,98.35,96.24,90.59
91,88.81,98.38,96.32,90.88
91.5,89.28,98.44,96.46,91.27
92,89.98,98.57,96.71,91.76
93,90.97,98.73,97.03,92.56
93.5,91.82,98.85,97.35,93.19
94,92.52,98.97,97.57,93.69
94.5,93.68,99.12,97.93,94.53
95,94.57,99.21,98.21,95.20
95.5,94.92,99.25,98.34,95.46
96,95.85,99.38,98.64,96.28
96.5,96.11,99.42,98.71,96.50
97,96.77,99.51,98.92,97.12
97.5,97.69,99.65,99.24,97.93
98,98.94,99.89,99.66,98.94
98.5,99.62,99.95,99.88,99.61
99,99.91,99.99,99.98,99.89
99.5,99.98,100.00,100.00,99.94
100,100.00,100.00,100.00,100.00
