Score,Non- Hispanic white,Black,Hispanic,Asian
36.5,23.86,36.38,28.74,20.82
37,22.94,35.30,27.99,19.69
37.5,22.02,34.22,27.24,18.56
38,21.10,33.14,26.49,17.43
38.5,20.18,32.06,25.74,16.30
39,19.26,30.97,24.99,15.17
39.5,18.34,29.89,24.24,14.04
40,17.42,28.81,23.49,12.91
40.5,16.96,28.11,22.99,12.73
41,16.51,27.40,22.48,12.54
41.5,16.05,26.70,21.97,12.36
42,15.59,25.99,21.46,12.17
42.5,15.14,25.29,20.95,11.99
43,14.68,24.59,20.44,11.80
43.5,14.23,23.88,19.93,11.62
44,13.77,23.18,19.42,11.44
44.5,13.31,22.47,18.91,11.25
45,12.86,21.77,18.40,11.07
45.5,12.40,21.07,17.89,10.88
46,11.94,20.36,17.38,10.70
46.5,11.49,19.66,16.87,10.51
47,11.03,18.96,16.36,10.33
47.5,10.58,18.25,15.85,10.15
48,10.12,17.55,15.34,9.96
48.5,9.66,16.84,14.84,9.78
49,9.21,16.14,14.33,9.59
49.5,8.75,15.44,13.82,9.41
50,8.30,14.73,13.31,9.22
50.5,8.11,14.60,13.09,8.94
51,7.93,14.46,12.86,8.66
51.5,7.75,14.33,12.64,8.38
52,7.57,14.19,12.42,8.10
52.5,7.39,14.06,12.20,7.82
53,7.21,13.92,11.98,7.54
53.5,7.03,13.79,11.76,7.26
54,6.85,13.65,11.54,6.98
54.5,6.66,13.52,11.32,6.70
55,6.48,13.38,11.09,6.42
55.5,6.30,13.24,10.87,6.14
56,6.12,13.11,10.65,5.86
56.5,5.94,12.97,10.43,5.58
57,5.76,12.84,10.21,5.30
57.5,5.58,12.70,9.99,5.02
58,5.40,12.57,9.77,4.74
58.5,5.22,12.43,9.55,4.46
59,5.03,12.30,9.32,4.18
59.5,4.85,12.16,9.10,3.90
60,4.67,12.03,8.88,3.62
60.5,4.58,11.81,8.75,3.69
61,4.49,11.59,8.62,3.75
61.5,4.39,11.38,8.50,3.81
62,4.30,11.16,8.37,3.87
62.5,4.21,10.94,8.24,3.93
63,4.12,10.72,8.11,3.99
63.5,4.03,10.51,7.98,4.05
64,3.93,10.29,7.85,4.11
64.5,3.84,10.07,7.72,4.17
65,3.75,9.85,7.59,4.23
65.5,3.66,9.64,7.46,4.30
66,3.56,9.42,7.33,4.36
66.5,3.47,9.20,7.20,4.42
67,3.38,8.99,7.08,4.48
67.5,3.29,8.77,6.95,4.54
68,3.20,8.55,6.82,4.60
68.5,3.10,8.33,6.69,4.66
69,3.01,8.12,6.56,4.72
69.5,2.92,7.90,6.43,4.78
70,2.83,7.68,6.30,4.84
70.5,2.77,7.51,6.15,4.71
71,2.71,7.34,5.99,4.58
71.5,2.66,7.16,5.84,4.45
72,2.60,6.99,5.69,4.32
73,2.49,6.64,5.38,4.05
73.5,2.43,6.47,5.22,3.92
74,2.37,6.30,5.07,3.79
74.5,2.32,6.12,4.92,3.66
75,2.26,5.95,4.76,3.52
75.5,2.21,5.78,4.61,3.39
76,2.15,5.60,4.46,3.26
76.5,2.09,5.43,4.30,3.13
77,2.04,5.26,4.15,3.00
78,1.92,4.91,3.84,2.73
78.5,1.87,4.74,3.69,2.60
79,1.81,4.57,3.53,2.47
79.5,1.75,4.39,3.38,2.34
80,1.70,4.22,3.22,2.20
80.5,1.69,4.27,3.16,2.15
81,1.68,4.32,3.10,2.09
81.5,1.66,4.37,3.04,2.03
82,1.65,4.42,2.97,1.98
82.5,1.64,4.47,2.91,1.92
83,1.63,4.52,2.85,1.86
83.5,1.62,4.57,2.79,1.80
84,1.61,4.62,2.72,1.75
84.5,1.60,4.67,2.66,1.69
85,1.58,4.72,2.60,1.63
85.5,1.57,4.77,2.53,1.58
86,1.56,4.82,2.47,1.52
86.5,1.55,4.87,2.41,1.46
87,1.54,4.92,2.35,1.41
87.5,1.53,4.97,2.28,1.35
88,1.52,5.02,2.22,1.29
88.5,1.50,5.07,2.16,1.23
89,1.49,5.13,2.10,1.18
89.5,1.48,5.18,2.03,1.12
90,1.47,5.23,1.97,1.06
90.5,1.44,5.01,1.92,1.05
91,1.41,4.80,1.86,1.04
91.5,1.38,4.59,1.81,1.02
92,1.35,4.37,1.75,1.01
93,1.30,3.95,1.64,0.98
93.5,1.27,3.73,1.58,0.97
94,1.24,3.52,1.53,0.95
94.5,1.21,3.31,1.47,0.94
95,1.18,3.10,1.42,0.93
95.5,1.15,2.88,1.36,0.91
96,1.13,2.67,1.31,0.90
96.5,1.10,2.46,1.25,0.88
97,1.07,2.24,1.20,0.87
97.5,1.04,2.03,1.14,0.86
98,1.01,1.82,1.09,0.84
98.5,0.98,1.60,1.03,0.83
99,0.95,1.39,0.98,0.82
99.5,0.93,1.18,0.92,0.80
100,0.90,0.96,0.87,0.79
